phase,variant_name,route_length,recurrence_setting,plasticity_setting,composition_accuracy_mean,composition_accuracy_std,composition_accuracy_count,route_table_accuracy_mean,route_table_accuracy_std,route_table_accuracy_count,transition_accuracy_mean,transition_accuracy_std,transition_accuracy_count,structure_transition_accuracy_mean,structure_transition_accuracy_std,structure_transition_accuracy_count,composition_route_gap_mean,composition_route_gap_std,composition_route_gap_count,route_margin_mean,route_margin_std,route_margin_count,world_margin_mean,world_margin_std,world_margin_count,mode_margin_mean,mode_margin_std,mode_margin_count,wrong_route_activation_mean,wrong_route_activation_std,wrong_route_activation_count,wrong_world_activation_mean,wrong_world_activation_std,wrong_world_activation_count,wrong_mode_activation_mean,wrong_mode_activation_std,wrong_mode_activation_count,structural_wrong_world_activation_mean,structural_wrong_world_activation_std,structural_wrong_world_activation_count,context_confusion_mean,context_confusion_std,context_confusion_count,top1_world_accuracy_mean,top1_world_accuracy_std,top1_world_accuracy_count,used_edge_fraction_mean,used_edge_fraction_std,used_edge_fraction_count,stored_edge_count_mean,stored_edge_count_std,stored_edge_count_count,lesion_sensitivity_mean,lesion_sensitivity_std,lesion_sensitivity_count,route_table_lesion_sensitivity_mean,route_table_lesion_sensitivity_std,route_table_lesion_sensitivity_count
variant_comparison,exp13_1_full_model,1,train_and_eval,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_full_model,2,train_and_eval,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_full_model,4,train_and_eval,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_full_model,8,train_and_eval,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_full_model,12,train_and_eval,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_full_model,16,train_and_eval,live_structural,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,1.0,0.0,20,0.0,0.0,20,1.807866164514089,0.0,20,1.0,0.0,20,1.6946020855866508,0.014606166209898038,20,0.0,0.0,20,0.0,0.0,20,0.11326407892743821,0.014606166209897952,20,1.2623744700498956,0.016862009632083185,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,3072.0,0.0,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_context_binding,1,train_and_eval,live_structural,0.35944010416666666,0.013826123569381446,20,0.36481119791666666,0.00406589107407779,20,0.36481119791666666,0.00406589107407779,20,0.0625,0.007791770515640965,20,0.005371093750000005,0.012139742815236599,20,0.0635747582822121,0.013824146133529705,20,0.25,0.0,20,1.9239073309689243,0.016901473822368635,20,1.8603325726867124,0.005245820231599025,20,0.0,0.0,20,0.0,0.0,20,2.317087615464507,0.017302107520635917,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,2975.3,12.490417379567022,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_context_binding,2,train_and_eval,live_structural,0.15377604166666667,0.00913153707288508,20,0.36481119791666666,0.00406589107407779,20,0.36481119791666666,0.00406589107407779,20,0.0625,0.007791770515640965,20,0.21103515625,0.007232826331473107,20,0.0635747582822121,0.013824146133529705,20,0.25,0.0,20,1.9239073309689243,0.016901473822368635,20,1.8603325726867124,0.005245820231599025,20,0.0,0.0,20,0.0,0.0,20,2.317087615464507,0.017302107520635917,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,2975.3,12.490417379567022,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_context_binding,4,train_and_eval,live_structural,0.05978732638888888,0.006748766510927159,20,0.36481119791666666,0.00406589107407779,20,0.36481119791666666,0.00406589107407779,20,0.0625,0.007791770515640965,20,0.30502387152777777,0.006516781200078485,20,0.0635747582822121,0.013824146133529705,20,0.25,0.0,20,1.9239073309689243,0.016901473822368635,20,1.8603325726867124,0.005245820231599025,20,0.0,0.0,20,0.0,0.0,20,2.317087615464507,0.017302107520635917,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,2975.3,12.490417379567022,20,0.0,0.0,20,0.0,0.0,20
variant_comparison,exp13_1_no_context_binding,8,train_and_eval,live_structural,0.04565972222222222,0.005726258565491902,20,0.36481119791666666,0.00406589107407779,20,0.36481119791666666,0.00406589107407779,20,0.0625,0.007791770515640965,20,0.31915147569444446,0.0064382594391286935,20,0.0635747582822121,0.013824146133529705,20,0.25,0.0,20,1.9239073309689243,0.016901473822368635,20,1.8603325726867124,0.005245820231599025,20,0.0,0.0,20,0.0,0.0,20,2.317087615464507,0.017302107520635917,20,0.0,0.0,20,1.0,0.0,20,1.0,0.0,20,2975.3,12.490417379567022,20,0.0,0.0,20,0.0,0.0,20
