phase,variant,variant_family,world_count,route_length,capacity_condition,context_slots,capacity_ratio,retention_world,world_age_from_end,seed_count,row_count,route_table_accuracy_all_mean,route_table_accuracy_all_std,route_table_accuracy_all_ci95_low,route_table_accuracy_all_ci95_high,route_table_accuracy_all_n,composition_accuracy_seen_routes_mean,composition_accuracy_seen_routes_std,composition_accuracy_seen_routes_ci95_low,composition_accuracy_seen_routes_ci95_high,composition_accuracy_seen_routes_n,composition_accuracy_suffix_routes_mean,composition_accuracy_suffix_routes_std,composition_accuracy_suffix_routes_ci95_low,composition_accuracy_suffix_routes_ci95_high,composition_accuracy_suffix_routes_n,first_step_context_accuracy_mean,first_step_context_accuracy_std,first_step_context_accuracy_ci95_low,first_step_context_accuracy_ci95_high,first_step_context_accuracy_n,suffix_generalization_gap_mean,suffix_generalization_gap_std,suffix_generalization_gap_ci95_low,suffix_generalization_gap_ci95_high,suffix_generalization_gap_n,route_table_composition_gap_seen_mean,route_table_composition_gap_seen_std,route_table_composition_gap_seen_ci95_low,route_table_composition_gap_seen_ci95_high,route_table_composition_gap_seen_n,route_table_composition_gap_suffix_mean,route_table_composition_gap_suffix_std,route_table_composition_gap_suffix_ci95_low,route_table_composition_gap_suffix_ci95_high,route_table_composition_gap_suffix_n,capacity_used_mean,capacity_used_std,capacity_used_ci95_low,capacity_used_ci95_high,capacity_used_n,evictions_mean,evictions_std,evictions_ci95_low,evictions_ci95_high,evictions_n,hash_collisions_mean,hash_collisions_std,hash_collisions_ci95_low,hash_collisions_ci95_high,hash_collisions_n
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,16,16,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,6144.0,0.0,6144.0,6144.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,32,4,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,3072.0,0.0,3072.0,3072.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,32,8,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,6144.0,0.0,6144.0,6144.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,32,12,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,9216.0,0.0,9216.0,9216.0,20,,,,,0,,,,,0
baseline_comparison,baseline_context_gated_transition_table,context_gated_lookup,32,16,none,,,,,20,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,1.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,12288.0,0.0,12288.0,12288.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,4,4,none,,,,,20,20,0.002083333333333333,0.0021705957121523197,0.001132027818781071,0.0030346388478855947,20,0.0020833333333333333,0.005449462122714552,-0.000304998745117874,0.00447166541178454,20,0.004687499999999999,0.004104525654439647,0.002888612317771102,0.006486387682228896,20,0.0,0.0,0.0,0.0,20,-0.0026041666666666665,0.005730412543960217,-0.005115630696199526,-9.270263713380715e-05,20,-4.336808689942018e-20,0.0061509883970166865,-0.002695789524170188,0.002695789524170188,20,-0.0026041666666666665,0.0047042221221849,-0.004665882914173563,-0.0005424504191597697,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,4,8,none,,,,,20,20,0.0,0.0,0.0,0.0,20,0.0010416666666666667,0.0032061823502661066,-0.0003635047032905241,0.0024468380366238574,20,0.0013020833333333333,0.0013652734646823772,0.0007037258554516684,0.0019004408112149982,20,0.0,0.0,0.0,0.0,20,-0.00026041666666666666,0.0038728571885568493,-0.0019577711670559863,0.001436937833722653,20,-0.0010416666666666667,0.0032061823502661066,-0.0024468380366238574,0.0003635047032905241,20,-0.0013020833333333333,0.0013652734646823772,-0.0019004408112149982,-0.0007037258554516684,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,4,12,none,,,,,20,20,0.0010850694444444445,0.0006826367323411886,0.000785890705503612,0.0013842481833852768,20,0.0,0.0,0.0,0.0,20,0.00078125,0.0008191640788094264,0.0004222355132710011,0.001140264486728999,20,0.0,0.0,0.0,0.0,20,-0.00078125,0.0008191640788094264,-0.001140264486728999,-0.0004222355132710011,20,0.0010850694444444445,0.0006826367323411886,0.000785890705503612,0.0013842481833852768,20,0.00030381944444444445,0.0010992765093523877,-0.00017795972774775745,0.0007855986166366463,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,4,16,none,,,,,20,20,0.0006510416666666666,0.0005974368069545879,0.0003892034413949347,0.0009128798919383986,20,0.0005208333333333333,0.002329237476562281,-0.0004999999999999999,0.0015416666666666664,20,0.00078125,0.0008861419887743759,0.0003928811499751935,0.0011696188500248065,20,0.0,0.0,0.0,0.0,20,-0.0002604166666666666,0.0025002773707868565,-0.0013562115387487027,0.0008353782054153695,20,0.00013020833333333333,0.0020867570551719576,-0.0007843532697334548,0.0010447699364001214,20,-0.00013020833333333333,0.000994589385705005,-0.0005661063506560185,0.00030568968398935175,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
baseline_comparison,baseline_recurrent_non_plastic_rule,recurrent_non_plastic,8,4,none,,,,,20,20,0.0,0.0,0.0,0.0,20,0.002604166666666667,0.0035846208417275277,0.0010331373150362748,0.004175196018297059,20,0.0010416666666666669,0.001557924587541976,0.0003588761114804795,0.0017244572218528542,20,0.0,0.0,0.0,0.0,20,0.0015624999999999999,0.002852721653672741,0.0003122396104544192,0.0028127603895455808,20,-0.002604166666666667,0.0035846208417275277,-0.004175196018297059,-0.0010331373150362748,20,-0.0010416666666666669,0.001557924587541976,-0.0017244572218528542,-0.0003588761114804795,20,0.0,0.0,0.0,0.0,20,,,,,0,,,,,0
