phase,world_count,route_length,capacity_condition,baseline_variant,comparison_variant,metric,mean_difference_cirm_minus_comparison,cohen_d_cirm_minus_comparison,n_cirm,n_comparison
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,route_table_accuracy_all,0.046875,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,composition_accuracy_seen_routes,0.75,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,route_table_accuracy_all,0.03125,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_seen_routes,0.5,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,first_step_context_accuracy,0.5,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,4,16,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_context_gated_transition_table,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_seen_routes,0.9973958333333334,393.4950938561863,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_suffix_routes,0.9989583333333333,906.8092477278261,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_shared_transition_table,route_table_accuracy_all,0.21875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,route_table_accuracy_all,0.21875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,route_table_accuracy_all,0.1875,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_seen_routes,0.75,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_2,first_step_context_accuracy,0.75,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,route_table_accuracy_all,0.125,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_seen_routes,0.5,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_4,first_step_context_accuracy,0.5,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,baseline_superposition_hash_slots_8,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_recurrence_at_eval,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_seen_routes,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,8,4,none,exp13_2_cirm_full,exp13_2_cirm_no_structural_plasticity,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,route_table_accuracy_all,0.0,0.0,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_context_gated_transition_table,first_step_context_accuracy,0.0,0.0,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,route_table_accuracy_all,0.9990559895833333,1893.8150645714054,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_seen_routes,0.9994791666666667,881.7196518420379,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,composition_accuracy_suffix_routes,0.9993923611111111,1883.3720922930152,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_recurrent_non_plastic_rule,first_step_context_accuracy,0.9989583333333333,660.9451376627261,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,route_table_accuracy_all,1.0,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_seen_routes,0.0,0.0,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,composition_accuracy_suffix_routes,1.0,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_route_endpoint_memorizer,first_step_context_accuracy,1.0,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_shared_transition_table,route_table_accuracy_all,0.109375,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_seen_routes,0.875,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_shared_transition_table,composition_accuracy_suffix_routes,0.0,0.0,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_shared_transition_table,first_step_context_accuracy,0.875,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,route_table_accuracy_all,0.109375,inf,20,20
baseline_comparison,8,8,none,exp13_2_cirm_full,baseline_superposition_hash_slots_1,composition_accuracy_seen_routes,0.875,inf,20,20
